id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
33496862,Suite Lisboa @ Paradise Suites,118926155,Angelica & Zilton,Cascais,Carcavelos e Parede,38.69981,-9.33728,Private room,64,2,7,2022-11-04,0.16,5,347,2,81905/AL
33537778,Principe Real Hygge near parks,23293250,Sofia,Lisboa,Santo Antnio,38.71838,-9.15221,Entire home/apt,80,3,37,2021-08-29,0.83,4,0,0,94158/AL
33538727,Cozy bedroom near Intendente Square (1),7347848,Helder,Lisboa,Santa Maria Maior,38.71884,-9.13608,Private room,42,1,87,2022-11-19,1.96,9,306,42,67526/AL
33539048,Cozy bedroom near Intendente Square (4),7347848,Helder,Lisboa,Santa Maria Maior,38.71866,-9.13623,Private room,44,1,68,2022-11-06,1.53,9,312,28,67526/AL
33736539,Alojamento Santa Catarina - Quarto Castanho,253717224,Alojamento Santa Catarina,Alenquer,Alenquer (Santo Estvo e Triana),39.04958,-9.0016,Private room,55,1,0,,,6,365,0,92692\AL
33736808,Home Out 409 - Room at City Center,80745409,Diogo & Priscila,Lisboa,Areeiro,38.73736,-9.13576,Private room,40,2,14,2022-11-27,0.31,36,255,11,35981/AL
33508581,"Love House Sintra, Historic Center",8443288,Luis,Sintra,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",38.79533,-9.39258,Entire home/apt,128,2,29,2022-10-21,0.65,2,133,26,49827
33736826,Alojamento Santa Catarina - Quarto Beje,253717224,Alojamento Santa Catarina,Alenquer,Alenquer (Santo Estvo e Triana),39.05119,-9.00322,Private room,55,1,3,2022-10-02,0.22,6,363,2,92692/AL
33539367,Cozy bedroom near Intendente Square (3),7347848,Helder,Lisboa,Santa Maria Maior,38.71903,-9.13592,Private room,38,1,109,2022-11-27,2.43,9,246,50,67526/AL
33513697,Suite Sintra @ Paradise Suites,118926155,Angelica & Zilton,Cascais,So Domingos de Rana,38.7016,-9.33748,Private room,64,2,7,2022-10-26,0.16,5,323,4,81905/AL
33516635,Ocean View Lodge,1976060,Jackson,Mafra,Ericeira,38.98562,-9.41572,Entire home/apt,74,2,103,2022-11-28,2.31,1,344,44,93586/AL
33545296,Villa Eros,17070749,Allure Villas,Sintra,Colares,38.81582,-9.47255,Entire home/apt,1201,4,0,,,23,21,0,65998/AL
33546255,FLH Avenida da Liberdade Central Apartment,3953109,Feels Like Home,Lisboa,Santo Antnio,38.7201,-9.14262,Entire home/apt,87,1,21,2021-08-14,0.47,313,0,0,91662/AL
33547124,FLH Bairro Alto Trendy Flat with Terrace,3953109,Feels Like Home,Lisboa,Misericrdia,38.71231,-9.1476,Entire home/apt,79,1,2,2019-04-27,0.05,313,0,0,14829
33737654,Quarto privado e aconchegado -15 minutos de Sintra,254313089,Aleida,Sintra,Rio de Mouro,38.78345,-9.3299,Private room,35,2,35,2022-09-30,0.86,1,349,11,15372/2019
33737832,Home Out 411 - Room at City Center,80745409,Diogo & Priscila,Lisboa,Areeiro,38.73846,-9.13617,Private room,40,2,23,2022-11-11,0.52,36,250,13,35981/AL
33933573,FLH Raimundo House near Ericeira I,3953109,Feels Like Home,Mafra,Carvoeira,38.93437,-9.41018,Entire home/apt,51,1,17,2022-10-20,0.42,313,349,12,49248/AL
33738230,"Sintra Apart. 
One floor building
Private entrance",254317204,Vasco,Sintra,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",38.76439,-9.35286,Entire home/apt,65,1,227,2022-12-13,5.14,1,241,58,06545248
33934189,Avenida da Liberdade - Garage apartment,1552056,Maria Simone,Lisboa,Santo Antnio,38.7237,-9.14757,Entire home/apt,99,3,39,2022-11-07,0.88,7,33,18,94245/AL
33547942,Wonderful suite,249505757,Ema Guest House,Lisboa,Arroios,38.73284,-9.13345,Private room,47,2,6,2019-09-11,0.14,6,105,0,95882/AL
33548739,Home Out 200 - Suite no Centro de Lisboa,80745409,Diogo & Priscila,Lisboa,Areeiro,38.73882,-9.13443,Private room,50,2,41,2022-12-01,0.98,36,288,25,68627/AL
33550584,Ipanema room,249505757,Ema Guest House,Lisboa,Arroios,38.73191,-9.133,Private room,30,2,19,2022-11-07,0.47,6,34,11,95882/AL
33550597,BEAUTIFUL SUITE,249505757,Ema Guest House,Lisboa,Arroios,38.73212,-9.13557,Private room,48,2,23,2022-11-05,0.52,6,15,8,95882/AL
33935815,"Bright, Family-Friendly Apartment in Anjos",3887108,Fillipa,Lisboa,Arroios,38.72647,-9.13421,Entire home/apt,120,1,102,2022-11-20,2.29,1,353,62,94524/AL
33569048,Quarto para casais,193960416,Lucineia,Lisboa,Lumiar,38.76165,-9.16976,Private room,450,5,0,,,1,179,0,Exempt
33740094,"Apartment w/patio, 3 minutes from railway station",4378227,Manuel,Sintra,Cacm e So Marcos,38.76729,-9.30136,Entire home/apt,97,5,15,2022-11-17,0.37,3,130,7,Exempt
33939495,Beach & Surf - Sunny Bedroom,31339511,Ana Paula,Oeiras,"Oeiras e S.Julio da Barra, Pao de Arcos e Caxias",38.68585,-9.32063,Private room,25,5,5,2022-08-26,0.12,3,0,3,Exempt
33740778,Studio 2 in the heart of Alfama in Lisbon,10366974,Adelaide & Paulo,Lisboa,Santa Maria Maior,38.71164,-9.12886,Entire home/apt,70,3,74,2022-12-06,1.78,15,351,38,82832/AL
33571118,Sitio Castelo Beach in Cascais,252966666,Carlos,Cascais,Cascais e Estoril,38.69615,-9.42069,Entire home/apt,97,2,20,2022-10-30,0.45,1,256,8,94043/AL
33940103,"Bellevue appartement@Graca, Lisboa",225591466,Abel,Lisboa,So Vicente,38.71961,-9.1253,Entire home/apt,93,3,30,2022-11-15,0.68,1,360,19,82437/AL
33571998,Casa do Relógio de Sol - Sun Clock House,252971883,Adília & José,Sintra,Colares,38.79584,-9.45283,Entire home/apt,55,2,100,2022-11-21,2.29,2,262,30,94177/AL
33575550,★ Campo Pequeno Av ★ Lisboa Praça de Touros Room 3,17638903,Maria De Jesus,Lisboa,Avenidas Novas,38.74118,-9.14504,Hotel room,170,1,6,2020-02-08,0.13,46,0,0,66419/AL
33576621,Flat confortável  no centro de Lisboa,6786638,Carlos,Lisboa,Santo Antnio,38.716209,-9.144042,Private room,55,2,148,2022-11-12,3.39,1,56,46,10858/AL
33577402,Beautiful Downtown Apartment,27546271,Luís,Lisboa,Misericrdia,38.7126,-9.14422,Entire home/apt,74,3,52,2022-04-14,1.16,6,134,3,86268/AL
33747620,Brand New Estrela Stylish Flat!!! FREE Parking!!!!,249929662,Antonio,Lisboa,Estrela,38.70567,-9.16619,Entire home/apt,64,2,108,2022-12-01,2.51,2,341,49,91756/AL
33762576,Classic Double Room City View,245512080,Esqina Urban Lodge,Lisboa,Santa Maria Maior,38.70923,-9.13899,Hotel room,132,1,0,,,4,100,0,56413/AL
33763592,"Sunny 1-bed flat w/terrace&sea view in Baixa, 3mins to Arco da Rua Augusta",1756107,Altido,Lisboa,Santa Maria Maior,38.71012,-9.13951,Entire home/apt,109,2,47,2022-12-07,1.10,228,346,22,24717/2019/AL
33949538,Nomad's Padaria Flats Tiled Walls,164595585,Nomad City Flats,Lisboa,Santa Maria Maior,38.71053,-9.13485,Entire home/apt,219,1,43,2022-11-09,1.02,11,327,19,82905/AL
33763812,Lisbon Best Places - Areeiro,254502259,João,Lisboa,Areeiro,38.743008,-9.132636,Entire home/apt,128,1,44,2022-11-12,1.02,3,27,18,93824/AL
33770839,SANTA CRUZ,254231385,Beatriz,Torres Vedras,A dos Cunhados e Maceira,39.14259,-9.37311,Entire home/apt,110,5,2,2021-08-29,0.06,1,364,0,Exempt
33579620,Charming Cottage near Lisbon,7393275,Ana,Loures,Bucelas,38.9054,-9.1562,Entire home/apt,95,3,19,2022-08-28,0.43,5,215,11,94107/AL
33951424,CASA NAS NUVENS Main House and optional Studio,5656514,Jane,Sintra,Colares,38.79222,-9.45192,Entire home/apt,300,2,4,2022-08-27,0.23,6,0,2,8646/AL
33579922,"Chiado chic 2 bedroom 2 bathroom apt, top location",253029437,Mario,Lisboa,Misericrdia,38.7132,-9.14376,Entire home/apt,192,2,188,2022-12-16,4.26,1,163,89,83537/AL
33953853,Single Room - Edison Shared Flat,248382211,Inspire,Lisboa,Avenidas Novas,38.73565,-9.15498,Private room,27,3,4,2022-09-01,0.10,19,168,2,54843/AL
33586238,Virginia's Apartment - Sunny & Cosy,253080144,Virginia,Lisboa,Santo Antnio,38.72595,-9.14293,Entire home/apt,73,2,15,2022-04-20,0.34,1,259,2,34046/AL
33594149,Saudade Room (Best Location - Heart of Old Centre),1208572,Felipe,Lisboa,Misericrdia,38.70998,-9.14554,Private room,25,1,28,2022-11-22,0.62,23,28,20,41465/AL
33602087,Refúgio Saloio-A quiet place at Lisbon's doors,253203443,Anabela,Loures,Lousa,38.88217,-9.20346,Entire home/apt,51,2,58,2022-12-11,1.30,1,327,11,94691/AL
33774182,Boho-chic Alfama apartment with a river view,254597709,Ljiljana & Julija,Lisboa,Santa Maria Maior,38.71001,-9.12815,Entire home/apt,289,3,108,2022-12-04,2.46,1,186,51,84625/AL
33795065,Trendy Beato By TimelyStay,123366549,Miguel,Lisboa,Marvila,38.73966,-9.1056,Entire home/apt,65,3,59,2022-11-27,1.32,9,185,13,85606/AL
33797265,Belém River Apartment R/C,128986153,Miguel,Lisboa,Belm,38.70242,-9.20537,Entire home/apt,65,2,58,2022-12-05,1.35,3,344,19,84983/AL
33954682,Double Room - Edison Shared Flat,248382211,Inspire,Lisboa,Avenidas Novas,38.73355,-9.15506,Private room,38,3,3,2022-08-24,0.58,19,168,3,54843/AL
33798203,Wide & Bright 4 Families by LovelyStay,255172078,Mohamed,Lisboa,Arroios,38.72832,-9.13437,Entire home/apt,124,2,58,2022-09-06,1.34,1,155,15,94236/AL
33800416,Charmante Villa,225871820,Maria,Torres Vedras,Silveira,39.11573,-9.37095,Entire home/apt,168,7,7,2022-07-18,0.24,1,180,1,91460/AL
33805922,"Nira house, Eleganc and Charm with sea view",31670029,Gonçalo & Tânia,Mafra,Carvoeira,38.9325,-9.41043,Entire home/apt,129,6,19,2022-10-30,0.47,3,290,11,5320/AL
33602734,Santos Pateo Duplex,12230734,Henrique,Lisboa,Estrela,38.71083,-9.15988,Entire home/apt,151,3,15,2020-08-16,0.34,3,46,0,94603/AL
33605373,Zen House,253186292,Daniel,Torres Vedras,Silveira,39.10484,-9.34465,Entire home/apt,70,3,33,2022-09-20,0.78,1,176,7,94382
33605594,Suite,74792458,António,Lisboa,Olivais,38.77578,-9.11794,Private room,59,1,89,2022-11-22,1.99,19,358,34,59309/2016
33606655,Sea & Sunset by ACasaDasCasas,170772126,Holidays In Ericeira,Mafra,Ericeira,38.97061,-9.41694,Entire home/apt,120,1,6,2022-08-09,0.14,38,292,3,92653/AL
33954764,Double Room - Edison Shared Flat,248382211,Inspire,Lisboa,Avenidas Novas,38.73476,-9.15441,Private room,30,3,0,,,19,168,0,54843/AL
33609263,Avenida Sunny Room - with Balcony 1,252967041,Fernando,Lisboa,Santo Antnio,38.72116,-9.14702,Private room,67,1,34,2022-10-30,0.87,6,356,31,32821/AL
33820477,Mariquinhas's House,255332179,Maria,Lisboa,Penha de Frana,38.73044,-9.1328,Entire home/apt,95,5,39,2022-11-23,1.08,1,153,29,99842/AL
33954844,Double Room - Edison Shared Flat,248382211,Inspire,Lisboa,Avenidas Novas,38.73364,-9.1559,Private room,30,3,3,2022-08-31,0.68,19,168,3,54843/AL
33821117,Superior Room,245512080,Esqina Urban Lodge,Lisboa,Santa Maria Maior,38.70927,-9.13722,Hotel room,249,1,0,,,4,100,0,56413/AL
33609870,Charming apt in Lisbon for family and groups 3bdr,77289815,Carlos,Lisboa,Penha de Frana,38.72501,-9.12752,Entire home/apt,117,3,21,2022-10-16,0.52,1,355,10,92464/AL
33954903,Double Room - Edison Shared Flat,248382211,Inspire,Lisboa,Avenidas Novas,38.73337,-9.15523,Private room,20,3,3,2022-08-31,0.70,19,168,3,54843/AL
33954969,Double Room - Edison Shared Flat,248382211,Inspire,Lisboa,Avenidas Novas,38.73366,-9.15496,Private room,20,3,7,2022-08-17,0.17,19,168,4,54843/AL
33612375,Lovely Lisbon Olival,48783438,Rui,Lisboa,Estrela,38.70545,-9.16595,Entire home/apt,93,9,37,2022-11-05,0.85,2,0,22,86610/AL
33822907,Studio 75 - Principe Real,255362799,João Carlos,Lisboa,Santo Antnio,38.71611,-9.14591,Entire home/apt,59,2,225,2022-12-13,5.08,1,86,67,54922/AL
33955034,Single Room - Edison Shared Flat,248382211,Inspire,Lisboa,Avenidas Novas,38.73403,-9.15464,Private room,25,3,2,2022-07-31,0.05,19,168,1,54843/AL
33955042,Single Room - Edison 2 Shared Flat,248382211,Inspire,Lisboa,Avenidas Novas,38.73402,-9.15463,Private room,25,3,5,2022-08-31,0.12,19,168,2,54850/AL
33826094,Camarata Feminina 8 Camas,66077974,Be Lisbon Hostel -,Lisboa,Arroios,38.73256,-9.14034,Shared room,22,1,42,2020-03-09,0.94,6,1,0,19266/AL
33615475,Ericeira Beach & Surf House with Sea View,79431453,André,Mafra,Ericeira,38.95348,-9.41262,Entire home/apt,45,1,3,2019-08-24,0.07,1,0,0,95277/AL
33955104,Double Room - Edison 2 Shared Flat,248382211,Inspire,Lisboa,Avenidas Novas,38.73333,-9.15609,Private room,38,3,1,2022-08-30,0.28,19,168,1,54850/AL
33826097,Camarata Mista 6 Camas,66077974,Be Lisbon Hostel -,Lisboa,Arroios,38.73114,-9.14074,Shared room,22,1,15,2020-03-12,0.34,6,2,0,19266/AL
33826099,Camarata Mista 7 Camas,66077974,Be Lisbon Hostel -,Lisboa,Arroios,38.73245,-9.13915,Shared room,22,1,31,2020-03-08,0.70,6,1,0,19266/AL
33826101,Camarata Masculina 6 Camas,66077974,Be Lisbon Hostel -,Lisboa,Arroios,38.73112,-9.13905,Shared room,22,1,10,2020-03-22,0.23,6,0,0,19266/AL
33826524,New Hosting Promotion! in Typical Neighbourhood,2476571,Teresa,Lisboa,Penha de Frana,38.73421,-9.12732,Entire home/apt,109,2,28,2022-10-28,0.68,11,355,20,97664/AL
33955153,Simple Apartment with 4 rooms,186448151,Luís,Lisboa,Arroios,38.7316,-9.13588,Entire home/apt,85,5,17,2022-08-29,0.41,37,77,11,28861/AL
