id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
6499,Belém 1 Bedroom Historical Apartment,14455,Bruno,Lisboa,Belm,38.6975,-9.19768,Entire home/apt,45,3,47,2022-10-07,0.47,1,250,15,
25659,Heart of Alfama -  Le cœur d'Alfama - Sleeps 3,107347,Ellie,Lisboa,Santa Maria Maior,38.71241,-9.12706,Entire home/apt,60,2,175,2022-12-11,1.66,1,310,48,56539/AL.
29248,Apartamento Alfama com vista para o rio!,125768,Bárbara,Lisboa,Santa Maria Maior,38.71082,-9.12719,Entire home/apt,60,5,353,2022-09-05,2.42,1,208,17,23535/AL
133645,A pleasure in Lisbon,656138,Juan,Lisboa,Santa Maria Maior,38.71091,-9.13251,Entire home/apt,69,2,348,2022-11-14,2.52,2,161,62,AL/6125
29396,Alfama Hill - Boutique apartment,126415,Mónica,Lisboa,Santa Maria Maior,38.71156,-9.12987,Entire home/apt,66,2,352,2022-12-04,2.73,1,223,51,28737/AL
134438,The Oasis   Beautiful outside terrace and garden!,659768,Matt,Lisboa,So Vicente,38.71841,-9.1233,Entire home/apt,120,5,204,2022-11-06,1.48,2,344,5,60792/AL
272438,Modern decor in best neighbourhood,1416183,Fadoflats,Lisboa,Santa Maria Maior,38.71291,-9.14234,Entire home/apt,108,3,109,2022-10-24,0.87,11,169,33,3019/AL
29720,TheHOUSE - Your luxury home,128075,Francisco,Lisboa,Estrela,38.71108,-9.15979,Entire home/apt,1186,2,88,2022-11-20,0.60,2,277,23,55695/AL
273835,Challet Joset I Old Fashioned House,1432350,Samantha,Cascais,Carcavelos e Parede,38.69219,-9.35887,Entire home/apt,85,3,31,2022-11-30,0.28,3,169,10,
134624,Sea views - 270 degrees,660500,Nuno,Mafra,Ericeira,38.985851,-9.415645,Entire home/apt,80,3,8,2022-09-30,0.06,1,365,7,
29915,Modern and Cool Apartment in Lisboa,128890,Sara,Lisboa,Avenidas Novas,38.74571,-9.15264,Entire home/apt,60,5,47,2021-12-21,0.31,1,206,1,85851/AL.
135261,Lisbon City Center 2 Bedroom Apt,663233,Leo,Lisboa,Misericrdia,38.71298,-9.14541,Entire home/apt,104,3,257,2022-12-02,1.85,2,131,25,20021/AL
137054,A pleasure in Lisbon 2,656138,Juan,Lisboa,Santa Maria Maior,38.71236,-9.13129,Entire home/apt,68,2,268,2022-11-07,1.97,2,170,51,AL/6167
279549,"3 Bedrooms, 3 bathrooms and terrace - Chiado",1457564,Ines,Lisboa,Misericrdia,38.71001,-9.14374,Entire home/apt,234,5,283,2022-11-14,2.20,2,280,50,35949/AL
281407,BERNARDIM BROWN IN CENTRAL LISBON,1466881,Victor,Lisboa,Santo Antnio,38.72621,-9.14318,Entire home/apt,169,3,4,2022-05-02,0.06,7,329,1,15252/AL
286706,BERNARDIM GREY IN CENTRAL LISBON,1466881,Victor,Lisboa,Santo Antnio,38.72486,-9.14329,Entire home/apt,120,3,9,2019-11-02,0.09,7,230,0,AL15255
33348,Happy Season,144484,Bruno,Lisboa,Lumiar,38.76427,-9.15301,Private room,40,1,2,2011-07-22,0.01,2,15,0,
290898,Welcome to Lisbon,1489229,João,Lisboa,Campolide,38.72932,-9.16566,Private room,20,2,6,2022-09-05,0.12,2,224,3,Registo como alojamento local no turismo de Portugal 9109/AL
290912,Private room for 1 or 2 guests in shared apartment,1489229,João,Lisboa,Campolide,38.72841,-9.1667,Private room,50,2,40,2021-06-17,0.32,2,364,0,Registo como alojamento local no turismo de Portugal 5955/AL
138542,Dear Home ★ In the Heart of Lisbon,676330,Margarida,Lisboa,Santo Antnio,38.71821,-9.15398,Entire home/apt,103,4,24,2022-12-15,1.77,5,62,23,
138929,Regueira street Apartm 88 4floor Alfama - 28599/AL,677938,Diogo And Maria,Lisboa,Santa Maria Maior,38.71231,-9.12918,Entire home/apt,45,3,452,2022-12-11,3.25,1,224,73,28599/AL
42519,Nice Apart.BAIRRO ALTO (ADAMASTOR) 6-1º,136230,David,Lisboa,Misericrdia,38.71062,-9.149,Entire home/apt,50,1,148,2022-12-11,1.09,7,350,28,81551/AL
138999,Apt Cathedral with River View,678222,Helena,Lisboa,Santa Maria Maior,38.71064,-9.13278,Entire home/apt,86,2,122,2022-12-16,0.89,3,5,12,23108 - AL
140080,Apartments in Lisbon city center 1º,682628,Paulo Eduardo,Lisboa,Misericrdia,38.71308,-9.14514,Entire home/apt,285,2,30,2022-07-25,0.22,5,94,1,2691/AL
291676,BAIRRO ALTO APARTMENT in Lisbon 3º,682628,Paulo Eduardo,Lisboa,Misericrdia,38.71308,-9.14514,Entire home/apt,185,5,12,2022-07-26,0.10,5,111,4,2696/AL
48025,Apartment for renting  in Lisbon,218778,José,Lisboa,Misericrdia,38.71195,-9.14463,Entire home/apt,75,5,29,2022-10-31,0.21,6,78,11,66950/AL
291999,CHARM in Historic Center of Lisbon - BAIRRO ALTO,1029524,Luis,Lisboa,Misericrdia,38.71099,-9.14829,Entire home/apt,77,3,313,2022-11-25,2.36,21,346,31,61842/AL
297131,Lovely Apartment close to the sea,1532497,Maria,Cascais,Cascais e Estoril,38.69901,-9.4398,Entire home/apt,82,3,35,2019-08-25,0.28,1,350,0,35001/AL
299321,Central Apartment & 360º Terrace,9416641,Sandra & Sofia,Lisboa,Santo Antnio,38.7213,-9.14437,Entire home/apt,87,2,616,2022-11-30,4.66,2,288,53,2156/AL
141883,Gomes Freire Studio with Balcony,688914,Luis,Cascais,Cascais e Estoril,38.6961,-9.42215,Entire home/apt,100,1,45,2022-10-29,0.35,36,332,12,10955/AL
48058,Small House Downtown Cascais,218990,Pim,Cascais,Cascais e Estoril,38.6965,-9.42571,Entire home/apt,80,5,47,2022-10-15,0.50,1,163,14,55201 Alojamento Local para Turistas
144851,Myplace-Lisbon Bairro Alto apart,701650,MyPlaceLisbon,Lisboa,Misericrdia,38.71261,-9.14456,Entire home/apt,81,2,105,2022-11-26,0.76,10,125,16,10977/AL
301264,200yrs apart. - Balcony and WIFI! 2,1552056,Maria Simone,Lisboa,Arroios,38.72199,-9.14002,Entire home/apt,89,2,97,2022-11-12,0.78,7,42,20,36052/AL
301871,Heart of Lisbon: varanda and  A/C,1552056,Maria Simone,Lisboa,Santo Antnio,38.72419,-9.1474,Entire home/apt,110,3,110,2022-11-11,0.85,7,128,21,93932/AL
48854,"Comfortable 4BR in historical villa, near market",222551,Dagmar,Sintra,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",38.8038,-9.3797,Entire home/apt,250,5,46,2022-05-31,0.52,1,0,1,7884/AL
303692,200yr Duplex Apartment beside garden with lake,1552056,Maria Simone,Lisboa,Arroios,38.72138,-9.13945,Entire home/apt,79,1,137,2022-10-08,1.10,7,81,17,36052/AL
144955,Apartment near Avenida da Liberdade,702053,Carlos,Lisboa,Arroios,38.72165,-9.14079,Entire home/apt,49,3,43,2022-11-28,1.20,1,35,26,
49673,Cottage Countryside / Beaches Golf,225364,Mercês,Alenquer,Alenquer (Santo Estvo e Triana),39.05965,-9.04733,Entire home/apt,250,7,7,2022-08-25,0.09,1,358,1,
148344,Casa do Celeiro (architect/artist house),716185,Mary,Sintra,Colares,38.78808,-9.45999,Entire home/apt,160,7,55,2022-10-04,0.43,1,260,13,34367
304025,"Apartment ""small and cozy"" - 4th floor",682628,Paulo Eduardo,Lisboa,Misericrdia,38.71308,-9.14514,Entire home/apt,139,5,20,2022-07-12,0.17,5,330,1,2699/AL
50108,Duplex do Pipas,229376,Pipas,Lisboa,Estrela,38.70388,-9.16546,Entire home/apt,60,2,37,2019-11-05,0.28,2,319,0,3725/AL
306191,"Bairro Alto Cute Apartment, Central",1574678,Tiago,Lisboa,Misericrdia,38.71279,-9.14503,Entire home/apt,72,3,459,2022-12-05,3.53,1,292,39,61340/AL
149274,"Sunny 1BR - Av. D. Carlos I, Lisbon",676330,Margarida,Lisboa,Misericrdia,38.70996,-9.15206,Entire home/apt,65,3,113,2020-03-11,0.89,5,0,0,
52298,rooms free in lisbon,241711,Paulo,Lisboa,Misericrdia,38.71247,-9.15119,Entire home/apt,310,1,0,,,1,365,0,
149589,Refuge at the Heart of the Castle!,721565,Ana,Lisboa,Santa Maria Maior,38.71331,-9.13314,Entire home/apt,74,1,222,2022-11-29,1.66,3,247,69,31903/AL
307666,Confortable & contemporary - Expo,1582924,Jorge,Lisboa,Parque das Naes,38.7787,-9.09634,Entire home/apt,114,3,13,2022-08-11,0.11,1,257,3,722/AL
56906,Lisbon Balcony Penthouse 15th Floor,270457,Antonio,Lisboa,So Vicente,38.71851,-9.12439,Entire home/apt,65,3,173,2022-11-29,1.19,7,347,23,22122/AL
307683,"Alfama,Lisbon--Window of the World",727771,Susana,Lisboa,Santa Maria Maior,38.71143,-9.12778,Entire home/apt,45,4,374,2022-11-24,2.84,8,266,53,84334/AL
75171,Long Stays - river a step away. Sunlight everyday,184400,Justostay,Lisboa,Estrela,38.70608,-9.16181,Entire home/apt,120,7,26,2022-01-24,0.19,7,172,1,7680 AL
311031,Central Alfama - Sé de Lisboa III,1599678,Patrícia,Lisboa,Santa Maria Maior,38.71219,-9.12739,Entire home/apt,90,3,0,,,3,273,0,AL 1708
154968,Tranquility in Principe Real.,739283,Andre,Lisboa,Misericrdia,38.71232,-9.14931,Entire home/apt,58,2,43,2019-09-26,0.31,1,9,0,
76132,Romantic & Renewed 1 bedroom Apartment @ Campolide,405842,Augusto,Lisboa,Campolide,38.72727,-9.16273,Entire home/apt,75,3,10,2019-09-12,0.19,12,287,0,78247/AL
155865,Great apartment in Lisbon!,749485,Ricardo,Lisboa,Alcntara,38.70546,-9.17579,Entire home/apt,73,2,183,2022-11-13,1.32,1,355,34,Registration Number: 12807/AL
311040,até 4 p Alfama - Sé de Lisboa I,1599678,Patrícia,Lisboa,Santa Maria Maior,38.71235,-9.1275,Entire home/apt,85,3,18,2022-12-09,0.26,3,263,17,AL 1587
311047,Central - Alfama - Sé de Lisboa II,1599678,Patrícia,Lisboa,Santa Maria Maior,38.71252,-9.12911,Entire home/apt,71,3,31,2022-12-13,0.34,3,287,25,AL 1627
83700,Panoramic sea view beautifull rooftop pool,456477,Claudio,Cascais,Cascais e Estoril,38.70018,-9.43272,Entire home/apt,52,3,203,2022-11-21,1.43,1,332,37,2729/AL
322250,THE LEMON HOUSE 5min fromtheocean,1650383,Simona,Cascais,Cascais e Estoril,38.70492,-9.39986,Entire home/apt,160,4,133,2022-08-01,1.26,2,17,11,41208/2015
322284,LISBON HISTORICAL CITY CENTER APART,1650507,Jp,Lisboa,Santa Maria Maior,38.70989,-9.13637,Entire home/apt,133,3,336,2022-11-23,2.58,1,165,63,46752/AL
158255,Charming Apartment in Lisbon,743285,Antonio,Lisboa,Estrela,38.70994,-9.15442,Entire home/apt,250,31,2,2015-12-28,0.02,1,185,0,14081960/AL
161268,Romantic JARDIM apt - LIFT! - PR.REAL/BAIRRO ALTO!,1554338,Sofia,Lisboa,Santo Antnio,38.71563,-9.1457,Entire home/apt,82,3,276,2022-12-10,2.08,1,81,26,149/AL
83933,Charming flat with terrace in Graça,335614,Sebastien,Lisboa,So Vicente,38.719852,-9.129011,Entire home/apt,56,3,252,2022-11-29,1.83,1,157,31,60551/AL
324364,Da Silva Surfcamp Areia Branca,1659960,Daniel,Lourinh,Lourinh e Atalaia,39.27423,-9.31898,Entire home/apt,480,3,6,2018-08-24,0.05,40,259,0,8651/AL
327945,Downtown Lisbon - Sunny and central,1675942,Patrícia,Lisboa,Santa Maria Maior,38.70943,-9.13722,Entire home/apt,66,2,474,2022-11-15,3.62,1,18,65,85271/AL
333311,Among Historic Neighborhoods,1695029,Gonçalo,Lisboa,So Vicente,38.71633,-9.13107,Entire home/apt,60,3,365,2022-11-19,2.79,4,1,16,3280/AL
335344,Bairro Alto Very Nice Apartment ! (90 m2),1707481,Patrícia,Lisboa,Misericrdia,38.71386,-9.14483,Entire home/apt,75,3,194,2022-11-24,1.53,1,266,36,30159/AL
84599,"LV Premier Baixa PR- Elevator, Balcony, AC, View",181902,Jose Luz,Lisboa,Santa Maria Maior,38.7106,-9.13689,Entire home/apt,232,1,79,2022-11-03,0.62,18,316,4,8954/AL
166114,"Casa do Duque, no Centro Chiado",791812,Mário,Lisboa,Santa Maria Maior,38.71415,-9.14053,Entire home/apt,57,4,192,2020-02-07,1.50,1,55,0,
85105,Quarto com Graça a 5 min metro intendente,462741,Mafalda,Lisboa,Santa Maria Maior,38.71784,-9.13492,Private room,35,1,0,,,1,364,0,
336832,Myplace-Lisbon Alfama River View,701650,MyPlaceLisbon,Lisboa,Santa Maria Maior,38.71248,-9.12961,Entire home/apt,79,2,170,2022-12-06,1.34,10,109,6,7114/AL
89015,Lisbon Cottage - Principe Real,485573,Justo,Lisboa,Misericrdia,38.71299,-9.15004,Entire home/apt,110,3,50,2022-11-28,0.36,1,349,22,88834/AL
172248,Double room near airport + free Parking,507901,Ana E Lucien,Lisboa,Alvalade,38.74736,-9.13191,Private room,50,5,54,2022-08-24,0.39,7,335,8,61861/AL
172455,Sunny apartment in the Heart of Lisbon,822877,Joao,Lisboa,Santa Maria Maior,38.71344,-9.13509,Entire home/apt,79,4,213,2022-11-21,1.56,2,63,2,45286/AL
90931,NORONHA apartment - BAIRRO ALTO,184400,Justostay,Lisboa,Santo Antnio,38.71749,-9.15441,Entire home/apt,120,3,16,2018-07-25,0.12,7,332,0,301 AL
91282,Lovely apartment in Rato/Estrela,133304,Maria & Júlia,Lisboa,Campo de Ourique,38.71879,-9.15853,Entire home/apt,104,14,5,2022-10-23,0.66,1,209,5,5478/AL
172638,Duplex at old typical Lisbon - Alfama,823780,André,Lisboa,Santa Maria Maior,38.71043,-9.13087,Entire home/apt,99,3,452,2022-11-28,3.26,2,167,42,59682/AL
344035,Quiet flat in middle Bairro Alto,1730158,Aida,Lisboa,Misericrdia,38.71112,-9.14799,Entire home/apt,124,3,71,2022-11-12,0.85,1,89,23,52334/AL
93829,Studio near to S Jorge Castle,183877,Cristina,Lisboa,So Vicente,38.71722,-9.13019,Entire home/apt,51,1,59,2019-06-09,0.57,1,0,0,Exempt
95212,BIG 3 BD CHARM&LIGHT #greenstreet,502806,Kathia,Lisboa,Misericrdia,38.70901,-9.15158,Entire home/apt,93,3,82,2022-12-04,0.65,1,48,6,
349459,S. Lourenço Street / Lisbon Center,1770472,André,Lisboa,Santa Maria Maior,38.71418,-9.13572,Entire home/apt,74,4,117,2022-11-13,0.90,1,291,18,19/AL
349971,BERNARDIM BEIGE IN CENTRAL LISBON,1466881,Victor,Lisboa,Santo Antnio,38.72659,-9.14522,Entire home/apt,200,3,5,2017-11-01,0.06,7,5,0,AL15252
349974,BERNARDIM BLUE  IN CENTRAL LISBON,1466881,Victor,Lisboa,Santo Antnio,38.72488,-9.14511,Entire home/apt,193,3,7,2022-09-23,0.06,7,350,2,AL15257
176153,The White House - Historical Center,842219,Inês & António,Lisboa,Misericrdia,38.70781,-9.1451,Entire home/apt,130,1,788,2022-11-23,5.70,2,281,72,
178515,Meet Lisboa on your foot,753902,Bruno,Lisboa,Santa Maria Maior,38.71133,-9.13093,Entire home/apt,68,3,190,2022-11-28,1.87,6,225,30,35038/AL
97503,Lovely equipped flat in city centre,515924,Joel,Lisboa,Santo Antnio,38.72129,-9.1422,Private room,55,90,44,2022-09-01,0.32,9,85,1,
178524,Duplex central Apt with river view,753902,Bruno,Lisboa,Santa Maria Maior,38.70916,-9.13222,Entire home/apt,88,3,298,2022-11-10,2.17,6,193,32,86946/AL
349975,BERNARDIM WHITE  IN LISBON,1466881,Victor,Lisboa,Santo Antnio,38.72541,-9.14519,Entire home/apt,96,3,6,2022-08-10,0.11,7,275,1,AL15252
103252,BALCONY · Vila Berta,538753,André & Cristina,Lisboa,So Vicente,38.71838,-9.129015,Entire home/apt,66,2,101,2022-11-21,1.29,12,246,28,89565/AL
351289,Casa de Pedra - CASAS DA MARIA,1779418,Teresa,Lourinh,Reguengo Grande,39.28927,-9.21705,Entire home/apt,80,5,76,2022-08-27,0.66,1,360,4,64585AL
107159,Noite a bordo  barco Yatch Astinor,554343,José,Lisboa,Estrela,38.70065,-9.17491,Private room,360,1,0,,,1,365,0,
354431,Casa da Saudade - Praça das Flores,1794425,Carlos,Lisboa,Misericrdia,38.71446,-9.15179,Entire home/apt,100,5,174,2022-11-18,1.34,2,202,13,
181219,Golden Blue Studio,412702,Ana,Lisboa,Misericrdia,38.71271,-9.15025,Entire home/apt,58,2,74,2022-11-29,1.48,1,237,31,6712AL
112497,Ocean View from The Sunny Flat,574017,Mateus,Cascais,Cascais e Estoril,38.69922,-9.44053,Entire home/apt,122,4,24,2022-10-02,0.17,1,174,13,
186996,"Apartment Jasmim, in historic center",899179,Beco Do Jasmim,Lisboa,Santa Maria Maior,38.71677,-9.13359,Entire home/apt,59,4,91,2022-11-24,1.16,3,7,12,23582/AL
362009,VISIT LISBON,1829625,Ivone,Oeiras,Barcarena,38.73535,-9.2796,Private room,100,30,0,,,1,0,0,
119120,Lapa 2Bdr with City and River Views,387186,Nuno,Lisboa,Estrela,38.70927,-9.16122,Entire home/apt,85,3,298,2022-12-03,2.15,8,22,49,6820/AL
362562,Romantic 2 Bedrooms Apartment @ Campolide,405842,Augusto,Lisboa,Campolide,38.727,-9.16478,Entire home/apt,90,3,32,2022-08-30,0.28,12,137,18,Arrendamento Residencial
187442,Alfama Balcony: Awesome Tagus View!,901710,"André, Ricardo & Luís",Lisboa,Santa Maria Maior,38.71095,-9.13192,Entire home/apt,111,2,486,2022-12-05,3.58,3,351,60,8023/AL
122572,A confortable room in a nice place,614156,Isabel,Lisboa,So Domingos de Benfica,38.75643,-9.177,Private room,62,1,0,,,1,47,0,
364652,Cozy&Walking distance to everything,1836346,Mafalda,Lisboa,Arroios,38.71817,-9.1394,Entire home/apt,85,7,228,2020-03-16,1.92,1,17,0,9419/AL
369360,Heart of Lisbon! Beautiful room!,1593947,Nuno,Lisboa,Santo Antnio,38.71665,-9.14627,Private room,30,5,186,2022-01-30,1.42,12,21,1,86359/AL
125578,"Lisbon Downtown, Historical center",624049,Sandra,Lisboa,Santa Maria Maior,38.71341,-9.13519,Entire home/apt,59,3,258,2022-11-30,1.88,2,339,43,
379156,Apartment in Historic  Building,1039097,Diogo,Lisboa,Estrela,38.70498,-9.17156,Entire home/apt,46,3,21,2022-11-26,0.17,11,247,9,44076-AL
189676,Santa Catarina - City / river views,915146,Pedro,Lisboa,Misericrdia,38.70997,-9.14864,Entire home/apt,94,28,231,2022-09-30,1.73,2,76,4,19438AL
193321,"Great sunny flat, historical center",515924,Joel,Lisboa,Santo Antnio,38.71971,-9.14339,Private room,25,10,25,2022-03-20,0.18,9,258,1,
125835,Rent quarter,624965,Vanessa,Vila Franca De Xira,Vila Franca de Xira,38.95722,-9.00264,Private room,50,1,0,,,1,365,0,
196619,COSY HOUSE,144484,Bruno,Lisboa,Penha de Frana,38.72726,-9.12117,Entire home/apt,65,1,0,,,2,0,0,
126646,"Room and balcony in house, overlooking the ""Tagus""",628095,Filipe,Lisboa,Penha de Frana,38.72983,-9.13183,Private room,37,1,346,2022-12-06,3.40,2,85,51,Exempt
393699,Heart of Lisbon!! Amazing room!!,1593947,Nuno,Lisboa,Santo Antnio,38.71724,-9.14755,Private room,30,5,150,2022-10-08,1.15,12,77,1,86359/AL
130708,Private Room in City Center,643374,Jesse James,Lisboa,Arroios,38.71806,-9.13738,Private room,53,3,211,2022-11-14,1.52,2,298,17,
393700,Royal Prince House!Heart of Lisbon!,1593947,Nuno,Lisboa,Santo Antnio,38.71693,-9.148,Entire home/apt,200,4,50,2019-01-05,0.38,12,1,0,86359/AL
198480,Ideal to work from home; close to the Airport,640147,Ana,Lisboa,Lumiar,38.77596,-9.15101,Entire home/apt,51,14,34,2022-10-16,0.44,1,55,9,61599/AL.
454328,"Alfama I, eco-penthouse with view & french balcony",2229758,Ulrik,Lisboa,Santa Maria Maior,38.71189,-9.12867,Entire home/apt,44,2,296,2022-12-01,2.34,11,358,64,28201/AL
199461,Romantic Apartment in the Old Town,914126,Martin,Lisboa,Santa Maria Maior,38.71095,-9.13673,Entire home/apt,172,2,154,2022-11-23,1.16,16,226,42,114187/AL
205532,LISBON chiado W  ELEVATOR & GARDEN - 227/AL,184400,Justostay,Lisboa,Santa Maria Maior,38.71041,-9.13928,Entire home/apt,130,3,13,2018-09-20,0.11,7,344,0,227 AL
395874,Sunny apartment with a river view,1165468,Nuno,Lisboa,Misericrdia,38.70691,-9.14846,Entire home/apt,48,3,193,2022-11-25,1.50,1,226,16,88259/AL
455053,Lisbonne la belle,2103745,Sandra,Lisboa,Avenidas Novas,38.72791,-9.15709,Private room,59,2,48,2022-10-26,0.70,1,360,21,
396204,Fantastic Sea View in Ericeira,1731572,Luis Pedro,Mafra,Ericeira,38.98762,-9.41653,Entire home/apt,100,7,65,2020-10-15,0.57,1,124,0,
402882,Beach & Surf Villa in west coast,1188660,Pedro,Sintra,Colares,38.82694,-9.46977,Entire home/apt,218,5,14,2022-09-04,0.16,1,365,5,
208683,Cozy central apartment with view,753902,Bruno,Lisboa,Santa Maria Maior,38.71052,-9.13365,Entire home/apt,60,3,125,2022-12-02,1.10,6,47,1,35037/AL
464021,"A Casa e o Mundo, peaceful to stay",2199291,Rosário,Cascais,Cascais e Estoril,38.69792,-9.4225,Private room,50,2,73,2022-11-30,0.57,2,348,30,9996001810163
211614,"Studio12 Monte Estoril, Cascais -Pool and tennis",758277,Margarida,Cascais,Cascais e Estoril,38.71015,-9.40746,Entire home/apt,65,3,64,2022-08-03,0.50,2,290,5,59068/AL
211616,Beguinhos: A balcony over Lisbon,1091599,Francisco,Lisboa,Santa Maria Maior,38.71315,-9.12715,Entire home/apt,75,3,237,2022-11-15,1.88,1,131,33,25786/AL
472183,Low cost studio/ free parking zone,2341627,Elsa,Lisboa,Belm,38.69735,-9.19489,Entire home/apt,74,4,132,2022-10-31,1.05,4,51,16,5060/AL
403260,Alfama 2 | Terrace Lisboa Vida Boa,1654712,Susanna,Lisboa,So Vicente,38.71337,-9.12548,Entire home/apt,128,4,120,2022-10-22,0.96,4,355,12,4507/AL
403760,Alfama 1 | Terrace Lisboa Vida Boa,1654712,Susanna,Lisboa,So Vicente,38.71337,-9.12548,Entire home/apt,96,4,158,2022-12-07,1.22,4,325,13,4498/AL
473519,"Quarto charme Algés, entre a praia e a cidade.",940404,Alice,Oeiras,"Algs, Linda-a-Velha e Cruz Quebrada-Dafundo",38.7056,-9.23021,Private room,55,2,30,2019-07-26,0.45,1,350,0,496571
214729,Lisboa alojamento de curta duração,1108485,Maria,Lisboa,Alvalade,38.74825,-9.1459,Private room,30,15,33,2022-10-07,0.35,2,220,2,
474818,"CASTELO, ALFAMA - CASA MENINO DEUS    ( 53816/AL )",2353669,Jorge,Lisboa,Santa Maria Maior,38.71284,-9.13085,Entire home/apt,79,1,496,2022-12-12,4.12,1,293,97,53816/AL
405399,Lisbon Panorama I,1788136,Mário,Lisboa,So Vicente,38.71904,-9.13269,Entire home/apt,120,2,219,2022-11-21,1.95,3,279,24,13197/AL
478989,GreatStay Fanqueiros 5 Room 210 (Shared Bathroom),862470,Great Stay,Lisboa,Santa Maria Maior,38.71135,-9.13616,Private room,46,2,103,2022-11-29,0.80,15,284,18,35089/AL
405876,Cascais Central Charming Duplex,2023076,Pedro,Cascais,Cascais e Estoril,38.69781,-9.42357,Entire home/apt,90,3,163,2022-12-11,1.31,4,286,30,
217187,Lisboa Popular,1121762,Silvia,Lisboa,Santa Maria Maior,38.71225,-9.12777,Entire home/apt,60,2,204,2022-10-01,1.49,2,300,20,84722/AL
479093,"Excellent family home, come visit!",2372961,Ekk,Sintra,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",38.76467,-9.36206,Private room,100,1,0,,,1,365,0,
217281,Room near the University of Lisbon,1108485,Maria,Lisboa,Alvalade,38.74877,-9.1478,Private room,22,15,11,2022-11-30,0.46,2,186,6,6743/AL
407623,Watch from your bed the river Tejo,2030219,Marta,Lisboa,So Vicente,38.71732,-9.13098,Entire home/apt,80,3,46,2016-08-14,0.35,2,359,0,
479691,Casa do Bairro @ Bairro Alto Lisbon   34211/AL,2376032,Dulce,Lisboa,Misericrdia,38.71403,-9.14551,Entire home/apt,60,1,247,2022-11-29,1.93,1,277,55,
416929,A room at the República das bananas,2073678,Augusto,Lisboa,Arroios,38.7338,-9.133,Private room,28,1,557,2022-12-15,4.41,2,120,97,62988/AL
218584,"Sea View  Apartment Almocageme, Sintra",1130719,Mario,Sintra,Colares,38.79325,-9.47854,Entire home/apt,85,5,24,2021-09-09,0.23,1,339,0,11447/AL
483897,Entrecampos Apartment,2381723,Renata,Lisboa,Avenidas Novas,38.74524,-9.14776,Entire home/apt,55,2,226,2022-11-11,1.79,2,55,20,31317/AL
220359,Zen Central Apartment,1142308,Rui,Lisboa,Avenidas Novas,38.73513,-9.14904,Entire home/apt,60,2,143,2022-12-01,1.09,1,279,12,121858/AL
417448,Cute and Cosy apartment in LISBON,2075804,Josie,Lisboa,Santo Antnio,38.71956,-9.14255,Entire home/apt,73,4,124,2022-10-29,0.96,1,13,18,56942/AL.
484157,Casa na Bica,2396948,José,Lisboa,Misericrdia,38.70962,-9.14739,Entire home/apt,65,2,147,2018-10-24,1.15,1,8,0,11729/AL
418945,Nice view over Tagus River @ Lisboa,2083563,Manuel,Lisboa,Belm,38.71156,-9.21046,Private room,110,1,2,2016-07-10,0.02,3,59,0,
487394,Bright & cozy apartment in Alfama,2412046,Pedro,Lisboa,Santa Maria Maior,38.71259,-9.12912,Entire home/apt,45,6,346,2022-12-07,2.71,1,1,25,24017/AL
424175,Charming  Bed & Breakfast,2108826,Maria,Cascais,Cascais e Estoril,38.70779,-9.39326,Private room,50,1,137,2022-01-06,1.08,2,0,1,47660/AL
220830,CASA MAYA  - BEAUTIFUL STONE HOUSE,763034,Eduardo,Mafra,Igreja Nova e Cheleiros,38.88991,-9.31029,Entire home/apt,60,2,43,2022-10-07,0.35,5,349,14,65979/AL
487633,Charming Apartment Mouraria Castelo,2412924,Michela,Lisboa,Santa Maria Maior,38.71376,-9.1364,Entire home/apt,99,3,429,2022-12-11,3.38,1,274,56,1368/AL
220831,Casa do Pátio,763034,Eduardo,Mafra,Igreja Nova e Cheleiros,38.89156,-9.31059,Entire home/apt,130,2,13,2022-08-21,0.15,5,74,4,65979/AL
424664,Lavanda House Swimming pool Garden,815805,Catarina,Cadaval,Cadaval e Pro Moniz,39.23805,-9.12181,Entire home/apt,75,3,93,2022-10-26,0.74,3,299,19,41833/AL
488241,TRV2- Quiet and Warm Historic Alfama with A/C,2396258,Paula And Eduardo,Lisboa,Santa Maria Maior,38.71252,-9.1245,Entire home/apt,215,1,56,2022-11-06,0.51,12,345,20,2819/AL
427653,Loft - Downtown / Castle - historic,2125391,Nuno,Lisboa,Santa Maria Maior,38.71147,-9.13382,Entire home/apt,66,3,152,2022-10-17,1.21,2,189,11,7679/AL
227224,Cosy Alfama with Balcony & Wifi!,1185103,Gonçalo,Lisboa,Santa Maria Maior,38.71102,-9.12995,Entire home/apt,43,1,367,2022-12-10,3.00,2,259,66,31178/AL
488694,TRV3 - glamour in Lisbon's historic center,2396258,Paula And Eduardo,Lisboa,Santa Maria Maior,38.71276,-9.12469,Entire home/apt,233,1,75,2022-11-18,0.59,12,170,27,10212/AL
229846,Alfama - Tiny penthouse  with a river view,624278,Cesar,Lisboa,So Vicente,38.71478,-9.1241,Entire home/apt,70,3,172,2022-12-03,1.33,3,325,23,82021/AL
